,category_id,parent_id,name,link_url
977,930,685.0,Спортивные скамьи,http://e96.ru/sporting_goods/trainers/sportivnye_skami
978,258,998.0,Лодочные моторы,http://e96.ru/tourism/boats_and_motors/lodochnye_motory
979,248,1136.0,Штатные головные устройства,http://e96.ru/avto/autosound/shtatnye_golovnye_ustroystva
980,1241,1190.0,Мобильные кондиционеры,http://e96.ru/climat/split_systems/mobilnye_kondicionery
981,1203,16.0,Сувениры и подарки,http://e96.ru/household_appliances/presents
982,279,1104.0,Пленки для телефонов,http://e96.ru/phones/cell_phones/plenki_dlja_telefonov
983,1595,1586.0,Мебель для кафе IKEA,http://e96.ru/ikea/stolovaya_ikea/mebel_dlya_kafe_ikea
984,336,1039.0,Детские велосипеды,http://e96.ru/kids/children_transport/detskie_velosipedy
985,1796,1033.0,Шасси для колясок,http://e96.ru/kids/child_car_seats_and_strollers/shassi_dlya_kolyasok
986,371,1041.0,Резиновые игрушки,http://e96.ru/kids/toys/rezinovye_igrushki
987,299,1245.0,Средства для чистки холодильников,http://e96.ru/kitchen_appliance/large/sredstva_dlya_chistki_holodilnikov
988,1507,1503.0,Сумки-переноски для кошек,http://e96.ru/tovary_dlja_koshek/sumki_perenoski_dlja_koshek
989,911,1201.0,Выключатели,http://e96.ru/household_appliances/electrics/vyklyuchateli
990,580,1037.0,Ходунки,http://e96.ru/kids/goods_for_newborns/khodunki
991,1779,1033.0,Базы для автокресел,http://e96.ru/kids/child_car_seats_and_strollers/bazy_dlya_avtokresel
992,369,1035.0,Мобили,http://e96.ru/kids/baby_cribs/mobili
993,93,1159.0,ТВ-приставки,http://e96.ru/audio_video/television/tv_pristavki
994,1120,81.0,Серверное оборудование,http://e96.ru/computers/servers
995,1226,1017.0,Наливные водонагреватели,http://e96.ru/garden_cottage/plumbing_for_garden/nalivnie_nagrevateli
996,1121,1119.0,Операционные системы,http://e96.ru/computers/software_is/operacionnye_sistemy
997,32,1245.0,Электрические плиты,http://e96.ru/kitchen_appliance/large/elektricheskie_plity
998,829,689.0,Пулеулавливатели,http://e96.ru/sporting_goods/airguns/puleulavlivateli
999,985,1189.0,Электрокамины,http://e96.ru/climat/heating/elektrokaminy
1000,808,806.0,Коврики для йоги,http://e96.ru/sporting_goods/gym_and_aerobics/kovriki_dlya_yogi
1001,174,1212.0,Сушильные машины,http://e96.ru/household_appliances/washing/sushilnye_mashiny
1002,359,1250.0,Аксессуары для йогуртниц,http://e96.ru/kitchen_appliance/juices_and_yogurts/aksessuary_dlja_jjogurtnic
1003,809,1153.0,Магнитно-маркерные доски,http://e96.ru/audio_video/projectors/magnitno_markernye_doski
1004,251,1246.0,Аксессуары для мультиварок,http://e96.ru/kitchen_appliance/small/aksessuary_dlya_multivarok
1005,393,1005.0,Мангалы,http://e96.ru/tourism/grills_barbecue/mangaly
1006,257,998.0,Надувные лодки,http://e96.ru/tourism/boats_and_motors/naduvnye_lodki
1007,873,871.0,Шайбы,http://e96.ru/sporting_goods/hockey/shayby
1008,1539,1001.0,Ледобуры,http://e96.ru/tourism/fishing/ledobury
1009,36,1246.0,Мясорубки,http://e96.ru/kitchen_appliance/small/myasorubki
1010,504,1039.0,Каталки-толокары,http://e96.ru/kids/children_transport/katalki_tolokary
1011,163,1091.0,Промышленные пылесосы,http://e96.ru/tools/building_facilities/promyshlennye_pylesosy
1012,1500,1514.0,Одеколоны,http://e96.ru/parfjumerija/odekoloni
1013,1522,1520.0,Бильярдные шары,http://e96.ru/sporting_goods/biljard/biljardnye_shary
1014,1190,1182.0,Сплит-системы,http://e96.ru/climat/split_systems
1015,1497,1514.0,Духи,http://e96.ru/parfjumerija/duhi
1016,806,683.0,Гимнастика и аэробика,http://e96.ru/sporting_goods/gym_and_aerobics
1017,597,1173.0,Стенки для душевых кабин,http://e96.ru/sanitary_engineering/shower_enclosures/stenki_dlja_dushevykh_kabin
1018,287,1202.0,Видеодомофоны,http://e96.ru/household_appliances/video_monitoring/videodomofony
1019,488,1136.0,Конденсаторы,http://e96.ru/avto/autosound/kondensatory
1020,123,46.0,Измельчители бытовых отходов,http://e96.ru/built_in/household_disposers
1021,621,1173.0,Душевые ограждения для поддонов,http://e96.ru/sanitary_engineering/shower_enclosures/ograzhdenija_dlja_poddonov
1022,979,1248.0,Капучинаторы,http://e96.ru/kitchen_appliance/tea_and_coffee/kapuchinatory
1023,610,1110.0,Подставки для мониторов,http://e96.ru/computers/pc/podstavki_dlja_monitorov
1024,1474,1104.0,Детекторы мобильных телефонов,http://e96.ru/phones/cell_phones/detektory_mobilnyh_telefonov
1025,626,1038.0,Гимнастические кольца,http://e96.ru/kids/baby_complexes/gimnasticheskie_kolca
1026,184,1116.0,Трекпады,http://e96.ru/computers/input_devices/trekpady
1027,1877,1189.0,Теплоносители,http://e96.ru/climat/heating/teplonositeli
1028,1337,1203.0,Самогонные аппараты,http://e96.ru/household_appliances/presents/samogonnye_apparaty
1029,910,847.0,Велосипедные фляги,http://e96.ru/sporting_goods/cycle_racing/velosipednye_flyagi
1030,1593,1189.0,Кронштейны для обогревателей,http://e96.ru/climat/heating/kronshteyny_dlya_obogrevateley
1031,537,1044.0,Наборы для творчества,http://e96.ru/kids/hobbies/nabory_dlja_tvorchestva
1032,187,1246.0,Мультиварки,http://e96.ru/kitchen_appliance/small/multivarki
1033,659,1251.0,Рейлинговые системы,http://e96.ru/kitchen_appliance/goods/reylingovye_sistemy
1034,208,1017.0,Пластиковые баки для воды,http://e96.ru/garden_cottage/plumbing_for_garden/baki_dlya_vody
1035,1489,1039.0,Беговелы,http://e96.ru/kids/children_transport/begovely
1036,689,683.0,Пневматическое оружие,http://e96.ru/sporting_goods/airguns
1037,1059,1015.0,Стулья для дачи,http://e96.ru/garden_cottage/furniture_for_garden/stulya_dlya_dachi
1038,882,876.0,Чехлы для лыж,http://e96.ru/sporting_goods/skis_and_snowboards/chehly_dlya_lyj
1039,1199,16.0,Швейное оборудование,http://e96.ru/household_appliances/sewing
1040,20,1196.0,Утюги,http://e96.ru/household_appliances/ironing/utyugi
1041,1501,1388.0,Стеклообои,http://e96.ru/finishes/wallpaper/steklooboi
1042,403,1172.0,Ванны,http://e96.ru/sanitary_engineering/baths/vanny
1043,1265,1248.0,Чайники,http://e96.ru/kitchen_appliance/tea_and_coffee/chayniki
1044,95,1246.0,Ломтерезки,http://e96.ru/kitchen_appliance/small/lomterezki
1045,478,1075.0,Биты,http://e96.ru/tools/drills/bity
1046,1517,1515.0,Моноколеса,http://e96.ru/sporting_goods/girocikly/monokolesa
1047,37,1245.0,Посудомоечные машины,http://e96.ru/kitchen_appliance/large/posudomoechnye_mashiny
1048,1524,1388.0,Обойный клей,http://e96.ru/finishes/wallpaper/obojnyj_klej
1049,1344,1342.0,Спальня,http://e96.ru/furniture/bedroom
1050,1148,1139.0,Фары ближнего света,http://e96.ru/avto/autolights/fary_blijnego_sveta
1051,536,1214.0,Купоны на подключение,http://e96.ru/household_appliances/coupons/ustanovka_bytovojj_tekhniki
1052,243,1208.0,Аксессуары для бритв,http://e96.ru/household_appliances/shaving/aksessuary_dlya_britv
1053,45,1160.0,Видеокамеры,http://e96.ru/audio_video/cameras/videocamery
1054,984,1189.0,Терморегуляторы для радиаторов,http://e96.ru/sanitary_engineering/termoregulyatory_dlya_radiatorov
1055,277,1142.0,Чип-тюнинг,http://e96.ru/avto/auto_electronics/chip_tuning
1056,343,1142.0,Автохолодильники,http://e96.ru/avto/auto_electronics/avtokholodilniki
1057,1135,39.0,Шины и диски,http://e96.ru/avto/tires_and_wheels
1058,1354,845.0,Пистолеты для страйкбола,http://e96.ru/sporting_goods/strikeball/pistolety_dlya_straykbola
